"Pending","Pending"
"Processing", "Processing"
"Access token is not valid","Access token is not valid"
"Transaction failed for order %s","Transaction failed for order %s"
"Stripe: payment processing error.","Stripe: payment processing error."
"Stripe","Stripe"
"Title","Title"
"API Publishable Key","API Publishable Key"
"API Secret Key","API Secret Key"
"Merchant Country","Merchant Country"
"Successful Payment Order Status","Successful Payment Order Status"
"Failed Payment Order Status","Failed Payment Order Status"
"Stripe: paid successfully.","Stripe: paid successfully."
